selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-000228, 338847.17565801, -1068052.28359100, 1327782.23781787, 12.81, 12.40, 2.81
04-1-000249, 861039.92666844, -793988.46579488, 1283258.08817536, 17.11, 16.70, 2.16
04-1-000250, 832810.94093429, -843018.88026297, 1270552.58221780, 20.55, 20.00, 2.58
04-1-000251, 781824.05436282, -883971.09413903, 1275109.80419190, 8.09, 7.53, 0.14
04-1-000256, 729244.30733014, -938105.95291462, 1267564.08963521, 7.00, 6.79, 2.85
04-1-000258, 684984.08836071, -951362.84138821, 1282288.69710311, 5.76, 5.07, 3.12
04-1-000274, 447407.78744482, -1118203.04804744, 1252200.85252772, 11.86, 11.80, 0.75
04-1-000276, 740028.20826352, -937475.47729338, 1261767.30836071, 10.65, 10.47, 1.79
04-1-000280, 830257.72837544, -855802.58234484, 1263658.49996142, 7.54, 6.87, 3.02
04-1-000281, 821348.53173988, -866247.17142103, 1262363.33415297, 8.32, 7.55, 0.05
04-1-000286, 899850.48766108, -834438.34754456, 1229853.85473365, 10.23, 10.01, 3.08
04-1-000300, 396489.84668585, -1195723.50602420, 1196494.82180919, 22.74, 21.57, 1.21
04-1-000301, 889405.16820275, -899584.22222459, 1190909.49861810, 9.28, 8.03, 1.26
04-1-000302, 859031.53625042, -906116.78865790, 1208129.10942479, 8.32, 7.31, 1.21
04-1-000306, 915041.86150605, -887728.77410683, 1180336.72115813, 6.28, 5.75, 2.33
04-1-000311, 337576.61087907, -1238301.83734677, 1170986.48643399, 8.31, 7.13, 1.20
04-1-000333, 918642.94661490, -935895.48259017, 1139628.68615265, 10.21, 9.83, 0.66
04-1-000339, 924392.90487997, -980153.31897745, 1096975.83779456, 10.10, 9.86, 0.54
04-1-000341, 358716.08725525, -1287031.21721452, 1110599.91655843, 6.86, 6.50, 2.60
04-1-000342, 346317.17400725, -1290491.03294738, 1110520.62964631, 6.43, 6.31, 0.51
04-1-000370, 1045974.91962994, -901555.97728654, 1054368.07962118, 7.28, 6.35, 0.35
04-1-000371, 1002137.06072537, -950992.56162017, 1053514.69817171, 8.61, 7.56, 2.63
04-1-000372, 986346.96064371, -965632.55368549, 1055098.19661098, 7.95, 7.22, 1.94
04-1-000374, 963325.91343022, -986570.95271125, 1056995.60064375, 7.23, 6.76, 0.85
04-1-000375, 973681.47151175, -984893.81063697, 1049041.14971898, 7.22, 6.73, 0.95
04-1-000376, 674942.77856233, -1202586.33951682, 1056786.21379827, 10.46, 10.19, 2.87
04-1-000378, 401766.53478400, -1328954.39785356, 1044520.28221253, 29.20, 26.56, 1.14
04-1-000399, 664702.82141219, -1251019.50652112, 1005822.60538841, 10.05, 9.68, 2.07
04-1-000424, 914140.50406954, -1159581.70137177, 915574.23328927, 9.84, 9.38, 0.89
04-1-000425, 559637.39104743, -1365623.07345602, 916754.25921353, 20.43, 18.57, 0.79
04-1-000438, 1020371.26572987, -1093372.21652415, 884272.82905554, 9.83, 9.44, 0.09
04-1-000440, 1116067.45693451, -1005617.29881981, 872746.26317509, 6.72, 6.48, 0.21
04-1-062374, 1094854.69178389, -1030512.90233150, 870571.72134587, 2.38, 1.88, 1.40
04-1-062378, 1107314.85941480, -1017336.86825761, 870309.28904785, 1.14, 1.05, 2.50
04-1-064231, 391062.24027150, -1440341.67273024, 889407.07779425, 1.42, 1.30, 0.34
04-1-064233, 392593.01354337, -1443787.15293004, 883124.08117496, 1.16, 1.10, 2.47
04-1-064274, 435698.26716726, -1432164.46422364, 881833.73002084, 1.14, 1.11, 1.94
04-1-064283, 458818.85885168, -1425547.85537259, 880827.63739829, 1.19, 1.12, 1.70
04-1-064290, 468396.62669488, -1429849.26437693, 868731.51275962, 1.44, 1.38, 1.25
04-1-064296, 472266.17028185, -1422253.24627596, 879044.44021040, 1.32, 1.30, 2.74
04-1-064301, 476175.59696524, -1419515.17538970, 881358.17219401, 1.23, 1.16, 0.33
04-1-064304, 476331.84198579, -1426584.00721141, 869784.34492640, 1.10, 1.07, 1.22
04-1-064306, 486942.87721917, -1416915.66200677, 879656.41081358, 1.40, 1.27, 2.22
04-1-064320, 506975.66653290, -1404255.93791415, 888594.22369064, 1.91, 1.74, 0.16
04-1-064324, 500461.36235854, -1412554.09800181, 879083.67349446, 1.14, 1.03, 3.02
04-1-064326, 507178.23668500, -1416571.78375888, 868707.87822563, 1.48, 1.42, 1.27
04-1-064341, 535812.94172894, -1395767.62162055, 885040.11090543, 1.30, 1.24, 1.43
04-1-064350, 554111.46677818, -1396605.12438137, 872360.80204043, 1.17, 1.05, 0.17
04-1-064370, 582587.65231344, -1380724.11090215, 879062.74915127, 1.24, 1.21, 3.01
04-1-064371, 590577.94948501, -1380449.41558862, 874148.64673184, 1.18, 1.16, 0.67
04-1-064383, 610014.82989417, -1370308.83221890, 876752.17231100, 1.43, 1.30, 0.15
04-1-064422, 719281.65515217, -1320571.73779016, 870220.05602689, 1.30, 1.18, 2.99
04-1-064432, 721190.91400243, -1309350.24215088, 885462.79929750, 1.27, 1.20, 1.57
04-1-064433, 724126.79616691, -1309645.67612368, 882625.25801361, 2.03, 1.96, 1.91
04-1-064439, 737505.99596255, -1301575.55842026, 883484.42637223, 1.23, 1.14, 0.28
04-1-064445, 753238.32149459, -1301654.79857613, 869991.71052128, 1.08, 0.96, 1.53
04-1-064473, 815281.33286476, -1252788.71792704, 885661.07316343, 1.27, 1.20, 0.58
04-1-064474, 820977.24056423, -1247681.81148603, 887606.45995986, 4.51, 4.42, 1.04
04-1-064476, 832581.94691905, -1246141.10239409, 878918.88965281, 1.69, 1.51, 0.40
04-1-064484, 839615.81135649, -1239641.27077991, 881415.66193219, 1.39, 1.26, 2.99
04-1-064485, 838517.11273437, -1239462.91159718, 882711.44913083, 1.12, 1.05, 0.03
04-1-064504, 848562.66681074, -1231532.58659817, 884210.18352079, 2.37, 2.29, 0.47
