Parameters,Group ID,Image
"[76.05089256443972, 70.71849622685953, 0.3765827129866466, 0.31322064296817587, 0]",237,0
NULL,237,1
"[77.32226668340516, 72.9051026251649, 0.5362378568045328, 0.34334712179330074, 7.450262740819028]",237,2
NULL,237,3
NULL,237,4
NULL,237,5
NULL,237,6
NULL,237,7
"[82.49895267133091, 82.65268775420856, 0.675962522522837, 0.4785324323953122, 9.605204155016452]",237,8
"[83.37906528073724, 84.39042374136775, 0.6107132995133318, 0.4033959707390792, 14.261590852145446]",237,9
"[85.37303629251636, 88.10666003274454, 0.6074349215685743, 0.4240953081314845, 17.612577842905864]",237,10
"[86.33614521277447, 90.08407319189332, 0.8131317970185532, 0.513234995210962, 15.785624138221408]",237,11
NULL,237,12
NULL,237,13
NULL,237,14
NULL,237,15
