Parameters,Group ID,Image
"[55.95564140954799, 60.11008000027247, 0.3019598583850733, 0.1457407723656166, 0]",400,20
NULL,400,21
NULL,400,22
NULL,400,23
NULL,400,24
NULL,400,25
NULL,400,26
NULL,400,27
NULL,400,28
NULL,400,29
"[57.645604347417866, 70.6988699509426, 0.4327841753247963, 0.288952102696904, 4.5247684728482795]",400,30
NULL,400,31
NULL,400,32
"[58.22219869333984, 74.3295640650185, 0.417968154581238, 0.3193655986966917, 6.709836807761235]",400,33
NULL,400,34
NULL,400,35
NULL,400,36
NULL,400,37
NULL,400,38
NULL,400,39
NULL,400,40
NULL,400,41
"[61.14618599612677, 93.39392648322729, 0.5668563306396734, 0.5143414903569976, 0]",400,42
"[61.411097993117146, 95.82828868391519, 0.5737235588952543, 0.534834784113414, 0]",400,43
NULL,400,44
NULL,400,45
