Parameters,Group ID,Image
"[75.71615237511827, 69.494088258893, 0.25105514199108825, 0.25627143515579576, 0]",238,0
NULL,238,1
NULL,238,2
NULL,238,3
NULL,238,4
NULL,238,5
NULL,238,6
NULL,238,7
NULL,238,8
"[82.69134926781877, 82.39432735802964, 0.4865622501908683, 0.3703017678997249, 14.261590852145503]",238,9
"[84.56281870426784, 85.79454494495586, 0.49502512713895275, 0.38013463835685035, 17.612577842905864]",238,10
"[85.55086847711425, 87.70720645922253, 0.5522033109004464, 0.42285916254977, 18.189210304671803]",238,11
NULL,238,12
"[87.72666100291386, 91.9065776862478, 0.6169627848619759, 0.4930485360149702, 18.617364492473314]",238,13
NULL,238,14
NULL,238,15
NULL,238,16
