Parameters,Group ID,Image
"[42.48603538146305, 27.24602045541663, 0.3000795700323735, 0.11669122562474854, 0]",742,98
NULL,742,99
"[42.157718146659974, 27.304254102803533, 0.3429480800369973, 0.09724268802062142, 0]",742,100
"[41.24935395305675, 27.619165260803946, 0.41870069876792826, 0.1168957932629553, 0]",742,110
NULL,742,120
"[38.77393471870075, 28.616183185070902, 0.5501047536260302, 0.20529219891221115, 0]",742,130
"[36.99432549269196, 29.393895097183186, 0.567808518919186, 0.26380634093587924, 358.7269699799448]",742,140
"[34.68771760517287, 30.754558971369146, 0.7599420992386001, 0.3356967940845834, 0]",742,150
"[31.897751638072503, 33.204491818647895, 0.8674852372376479, 0.45890033260474195, 357.51044707800264]",742,160
"[28.093263187276712, 37.355497124923346, 1.1322312375693449, 0.5047772890900294, 354.80557109226635]",742,170
"[23.01282739090928, 43.527715781736546, 1.3653513422195984, 0.8296137049894563, 355.1900893463729]",742,180
"[15.92366467074449, 51.33527756874155, 1.6314945430326073, 1.080842707618489, 346.7350320022585]",742,190
"[5.350291530917236, 62.010323503864825, 2.230822705160772, 1.3882283783568377, 341.86070970896566]",742,200
