Parameters,Group ID,Image
"[34.911963528572, 48.90083930556252, 0.31189385533389213, 0.12735870253209214, 0]",79,0
NULL,79,1
NULL,79,2
NULL,79,3
NULL,79,4
NULL,79,5
NULL,79,6
NULL,79,7
NULL,79,8
NULL,79,9
"[32.10172312997317, 53.176966324102104, 0.3468177845610535, 0.14300405932559299, 353.1909498203861]",79,10
NULL,79,11
NULL,79,12
NULL,79,13
NULL,79,14
NULL,79,15
"[30.06798663226528, 56.59412300584153, 0.4137709986351872, 0.21193744092099862, 354.3594505678449]",79,16
NULL,79,17
NULL,79,18
NULL,79,19
"[28.289998975090413, 59.59822914314773, 0.4423905362393725, 0.2062019619684179, 0]",79,20
NULL,79,21
NULL,79,22
NULL,79,23
NULL,79,24
NULL,79,25
"[25.325974259997526, 64.85347797885684, 0.5240134910763411, 0.3181077216534411, 353.8844964337199]",79,26
"[24.8158893682595, 65.77139906075887, 0.5329997727573739, 0.30386320555319896, 352.48804313087885]",79,27
"[24.25667520539962, 66.70706263240987, 0.5417180245612555, 0.33409547480879725, 352.3758074955462]",79,28
"[23.766704787151042, 67.67895010538473, 0.5451619599792982, 0.3472981963180793, 348.99775850540357]",79,29
"[22.587239188058643, 69.74219145675384, 0.5991470567359228, 0.3313738771163313, 348.4398692057823]",79,30
"[22.049359950355722, 70.8134062250445, 0.595187003094592, 0.3507247930728424, 347.1418637286789]",79,31
"[21.39219930849181, 71.96548534213058, 0.5968878558405595, 0.35130215856635605, 347.5417535599975]",79,32
"[20.754340099839695, 73.17433646165436, 0.59719411631861, 0.3857561177677409, 348.69006752597966]",79,33
"[20.14593517157407, 74.41654888878773, 0.647703984108062, 0.41058439782443706, 349.4128028816999]",79,34
"[18.64470138364698, 77.10874362616387, 0.7235708891412349, 0.4534276430869628, 345.5940248025295]",79,35
NULL,79,36
"[17.01644606768293, 80.08942808050456, 0.7305713537239282, 0.5004305628773444, 344.94442384478464]",79,37
"[16.194564358150988, 81.73578947377786, 0.707330415076316, 0.46875860443603595, 342.552811576717]",79,38
NULL,79,39
NULL,79,40
"[12.312419115756358, 89.1576166560682, 0.8504431650960974, 0.6347617728437804, 340.62691159725136]",79,41
"[11.273979791198279, 91.19030997170881, 0.8194200251873408, 0.5352472931425142, 344.05460409908136]",79,42
"[9.918770234831252, 93.42236649766824, 0.8514953565864422, 0.6890854145299847, 349.4264765814392]",79,43
"[8.698982160576445, 96.04112670724695, 0.958483890786563, 0.6806988161443477, 337.30099012450125]",79,44
