Parameters,Group ID,Image
"[33.011536760986864, 71.25608127054437, 0.6697442306050622, 0.5013860231476892, 351.31364541876434]",19,0
"[32.551044776091686, 72.40097498531335, 0.8131686746770197, 0.4777686764653537, 344.1480718457111]",19,1
"[32.225652720837914, 73.5198186251188, 0.806722540457412, 0.621879883327867, 346.10282368499026]",19,2
"[31.80764692719033, 74.78510485021049, 0.8238898569907078, 0.5408912295805554, 345.54757174890517]",19,3
"[31.309108779972668, 76.03754623884818, 0.8518279565342725, 0.6455937696323112, 345.82193558529843]",19,4
"[30.43254543107633, 78.84142112800248, 0.9646168902440782, 0.6280563480772774, 346.731579026766]",19,5
"[29.925536344510856, 80.30657738297818, 1.0068999557096838, 0.699673305635111, 344.59657503754136]",19,6
"[29.39805381341916, 81.89185209039418, 0.9955121509167864, 0.6564758784682879, 343.72032679787077]",19,7
"[28.905331580898768, 83.48562955905432, 0.936761560139702, 0.7557434865684566, 338.53234856090376]",19,8
"[28.285121142935672, 85.31101360379387, 1.0749397533858571, 0.7543023741153869, 341.3826090961089]",19,9
"[27.084367686204963, 89.12171614816923, 1.0998463706463781, 0.7793960141839515, 335.2263822776036]",19,10
"[26.451116977579115, 91.19535121185982, 1.1007336463820148, 0.7822378002013176, 331.8264356149063]",19,11
"[25.649264338123213, 93.40169303197031, 1.175436403013679, 0.9803460946268404, 338.45902408146685]",19,12
"[24.929795688510353, 95.78582556535628, 1.2108003237421474, 0.9613425153455013, 337.2254800828541]",19,13
"[24.16367567506236, 98.13974992895324, 1.2105952241014686, 1.0452129928503169, 339.8636965717533]",19,14
