Parameters,Group ID,Image
"[51.17506464181615, 55.51360312834127, 0.3254424843697379, 0.1632039884258205, 0]",269,10
NULL,269,11
NULL,269,12
NULL,269,13
NULL,269,14
NULL,269,15
NULL,269,16
NULL,269,17
NULL,269,18
NULL,269,19
"[51.57305102604569, 63.16795911862365, 0.3105430060792145, 0.20529219891221118, 0]",269,20
NULL,269,21
NULL,269,22
NULL,269,23
NULL,269,24
"[51.87416234178035, 68.56660824745661, 0.41903620638684913, 0.29406116666440596, 0]",269,25
NULL,269,26
"[51.95291383789096, 70.73367208776207, 0.4618761110491718, 0.33209307755299733, 0]",269,27
"[51.9703512668898, 71.8991200360867, 0.4773890091446017, 0.3387142050796319, 359.08334574361874]",269,28
"[52.05488014498473, 73.08303834091649, 0.4407692442385809, 0.3472981963180928, 0]",269,29
"[52.115850496432984, 75.61860597166803, 0.4996362162285015, 0.36252456999645355, 1.432096184159434]",269,30
"[52.22914869438859, 76.99259875818366, 0.5153925647655484, 0.39568933780027743, 0]",269,31
"[52.218129325911555, 78.45114733508892, 0.5939547459838437, 0.4590880481264747, 0]",269,32
"[52.35312938062824, 79.98365458678552, 0.532359438992934, 0.434736421225864, 0]",269,33
NULL,269,34
"[52.53640999333533, 85.02413107504846, 0.6526169431180548, 0.5489096227599362, 0]",269,35
NULL,269,36
"[52.705684061759875, 88.85511508723478, 0.6452841684762731, 0.5818442001255448, 0]",269,37
"[52.81025763905165, 91.00948139892698, 0.6573171534042572, 0.56400759051958, 0]",269,38
"[52.8785873131283, 93.17356330095244, 0.6573171534042572, 0.6029046657278627, 0]",269,39
NULL,269,40
NULL,269,41
NULL,269,42
